Месяц,Количество пассажиров(2012),Количество пассажиров(2013),Количество пассажиров(2014),Количество пассажиров(2015),Количество пассажиров(2016),Количество пассажиров(2017),Количество пассажиров(2018),Количество пассажиров(2019),Количество пассажиров особых категорий(2012),Количество пассажиров особых категорий(2013),Количество пассажиров особых категорий(2014),Количество пассажиров особых категорий(2015),Количество пассажиров особых категорий(2016),Количество пассажиров особых категорий(2017),Количество пассажиров особых категорий(2018),Количество пассажиров особых категорий(2019)
Январь,662572,720923,836269,872485,784263,982522,1079174,1230150,631,599,773,1215,1303,1672,1935,2383
Февраль,576192,641556,752701,733328,702332,897544,953908,1082934,565,683,771,1076,1274,1655,1943,2762
Март,686477,786802,898800,863424,827881,1018974,1144252,1331310,781,844,1028,1452,1618,2067,2530,3191
Апрель,775794,878877,993753,933681,899125,1147043,1282383,1426644,653,935,1227,1719,2056,2564,3110,3903
Май,965908,1173910,1259543,1199330,1108772,1396650,1576186,1708252,1044,1482,1410,2447,2753,3660,4484,5370
Июнь,1231239,1441678,1626631,1487714,1373482,1700237,1915565,1988483,1110,1345,1711,2540,2928,3614,4404,5420
Июль,1320530,1560179,1753930,1675612,1551310,1917052,2103426,2206477,1173,1539,1840,2698,3110,3653,4495,5486
Август,1321144,1569558,1753314,1686738,1552333,1881419,2099021,2221090,1263,1643,1988,2805,3105,3721,4767,5579
Сентябрь,1163202,1278403,1404624,1397491,1385050,1668519,1861651,1954843,1407,1656,2026,2799,3235,3944,4728,5959
Октябрь,927935,1060189,1119049,1061023,1146217,1343690,1547328,1710904,1050,1327,1616,2202,2645,3261,4086,4700
Ноябрь,769436,883348,933984,796711,952235,1089829,1286686,1374406,702,1037,1590,1537,2034,2581,2894,3459
Декабрь,754131,858943,932134,792218,982037,1082041,1272706,1345769,761,1003,1570,1652,2054,2487,3151,3700
